"急招B2货运司机,非诚勿扰。",货运司机,6人,上海上海市宝山区菊联路232弄10号602室。,广德,超市/百货/零售,其他,20-99人,诚信等级：,,能吃苦耐劳，有上进心的，做的好有奖金。,需要能吃苦耐劳优先，有责任心的，待遇绝对不会差，你可以过来当场看。
7.6电动飞翼货车司机,货运司机,2人,上海上海嘉定马陆沈石路52号,优邦物流,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：做事要认真负责，对客户要友好态度，对同事要积极的态度。任职资格：爱惜公司的车辆。定期安排车辆保养工作时间：面谈对上海路线熟悉者优先,上海优邦物流有限公司是专业从事上海长途运输的大型货运公司，我们在仓储输业务上有着丰富的经验和完善的管理软件，正规的操作流程。我们以积极正规为回报，公司拥有上海市内配送大小型车辆9台;长途运输车辆26台；合同车辆30台，我们公司现已开通了：上海至广东专线、上海至北京专线、上海至杭州专线、上海至昆山专线、上海至嘉兴专线等专业运输线。我公司是国内综合物流企业之一。上海优邦物流公司座落于嘉定区浏翔公路思星路广利物流院内，优越的的地理环境为公司提供了更多与客户紧密合作的机会。望新老客户前来洽谈生意，我们将真诚的为您提供更方便、快捷、高质量的服务。我们的业务覆盖华南、华中、华东等地区的大中小城市。我们有专业的客服服务体系，有专门的物流管理软件，这使我们的工作更加快捷、更加方便迅速。为您节省时间，提高工作效率。我们为了不断规范、强化、扩大企业品牌意识，逐步树立优邦物流品牌在客户心目中的安全、优质、高效的企业形象，我们始终坚持“用心铸造品牌，专业传递品质”的口号，为你提供真挚的服务。优邦物流专业提供专业的长途打包托运、私人物品打包、长短途搬家、仓储管理、仓库出租等多项业务。热烈期望能结识更多的合作伙伴，我们优邦物流将以饱满的热情，超强的服务意识与您进行沟通与合作，相信我们的联合将会让我们的商路越走越宽广。
驾驶员,货运司机,2人,上海上海浦东新区江镇北大门闵陈家宅12号,上海好缘物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,我司主要从事航空货物运输代理 驾龄需2年以上B2驾驶员,私营企业，从事航空货运代理运输行业，普货，危险品查验手续办理等相关工作
招聘快递驾驶员,货运司机,1人,上海常熟市徐州路6号,刘杰车队,贸易/交通/运输/物流,其他,20人以下,诚信等级：,,新车9.6米天龙，常熟无锡杭州往返，每天开车四个半小时260公里路。工资6500不包吃住。非诚勿扰,本车队拥有9.6米飞翼车二十余辆，专业从事江浙沪短驳、转仓、搬厂等业务。
货运司机,货运司机,2人,上海嘉定封浜嘉定乡思路60号,上海懿虹冷链设备有限公司,贸易/交通/运输/物流,民营,100-499人,诚信等级：,,岗位职责:开车任职资格:工作时间:8小时以内,物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送物流配送
货车司机,货运司机,2人,上海嘉定华亭嘉行公路2680号,跨越速运集团有限公司,贸易/交通/运输/物流,上市公司,10000人以上,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；任职资格：1、年龄22-40岁，B2本，2年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,"本公司为一家物流快递企业,从事8小时12小时等货物快速运输,并承若限时未达全额退款的服务,公司网点分布全国各地,欢迎您的加入"
急聘送货司机包住,货运司机,2人,上海上海闵行区梅富路100号靠近春申路,上海奉慧实业有限公司,超市/百货/零售,民营,20-99人,诚信等级：,,开车送货，装卸及搬运货物，所驾驶车辆为大通，驾照要求C1要求：身体好，车技好，驾车年限3年以上工资：基本工资＋补贴＋奖金，可提供住宿工作地址上海闵行区梅富路100号（靠近春申路）,西卡（中国）有限公司为瑞士西卡集团在中国的全资子公司，总部设在瑞士巴尔市，为在瑞士苏黎世上市工资。西卡集团成立于1910年，至今已有超过100年的历史，公司为全球范围内最大的化工建材企业之一，在全球范围内近100个国家设立分支机构，员工超过20000人。西卡公司在中国有10家工厂，总部设在苏州，并且在苏州设有亚太区研发中心，为整个亚太市场提供产品研发和技术支持。西卡公司在地坪、混凝土外加剂、密封与粘结、加固与保护，防水与防腐、工业粘结等领域处于行业领先地位。现西卡（中国）有限公司家装系列产品携手上海奉慧实业有限公司在上海、苏州、无锡、南京、杭州、合肥等城市设立西卡营销中心，致力于西卡家装产品在华东的上海、苏州、无锡、南京、常州、杭州、合肥等核心城市市场的开拓及业务发展。我司主营家装建材中高端的防水材料，硅胶和瓷砖胶填缝剂之类的基础建材，同时有线下门店和线上渠道。江浙沪皖有分公司和门店经营。批发和零售业务并存。
诚聘货运司机可提供住宿,货运司机,2人,上海上海闵行区梅富路100号靠近春申路,上海奉慧实业有限公司,超市/百货/零售,民营,20-99人,诚信等级：,,开车送货，装卸及搬运货物，所驾驶车辆为大通，驾照要求C1要求：身体好，车技好，驾车年限3年以上工资：基本工资＋补贴＋奖金，可提供住宿工作地址上海闵行区梅富路100号（靠近春申路）,西卡（中国）有限公司为瑞士西卡集团在中国的全资子公司，总部设在瑞士巴尔市，为在瑞士苏黎世上市工资。西卡集团成立于1910年，至今已有超过100年的历史，公司为全球范围内最大的化工建材企业之一，在全球范围内近100个国家设立分支机构，员工超过20000人。西卡公司在中国有10家工厂，总部设在苏州，并且在苏州设有亚太区研发中心，为整个亚太市场提供产品研发和技术支持。西卡公司在地坪、混凝土外加剂、密封与粘结、加固与保护，防水与防腐、工业粘结等领域处于行业领先地位。现西卡（中国）有限公司家装系列产品携手上海奉慧实业有限公司在上海、苏州、无锡、南京、杭州、合肥等城市设立西卡营销中心，致力于西卡家装产品在华东的上海、苏州、无锡、南京、常州、杭州、合肥等核心城市市场的开拓及业务发展。我司主营家装建材中高端的防水材料，硅胶和瓷砖胶填缝剂之类的基础建材，同时有线下门店和线上渠道。江浙沪皖有分公司和门店经营。批发和零售业务并存。
C照送货司机,货运司机,2人,上海南汇航头航帆路1号10栋,美国洁丽威清洁用品（上海）有限公司,生产/制造,民营,20人以下,诚信等级：,,岗位职责:负责配送货物任职资格:需熟悉上海路线，有过送货司机经验，能接受早晚加班（20元/小时）工作时间:面谈,美国洁丽威清洁用品（上海）有限公司位于上海浦东新区川沙路，本公司专业生产清洗机器、清洁剂等保洁用品
物流短途货运司机直招+包吃住,货运司机,5人,上海闵行华漕上海闵行区华漕华江路,上海宇易物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责区域内的物品送达及货款的及时返回；2、执行业务操作流程，准时送达物品，指导客户填写相关资料并及时取回；3、整理并呈递相关业务单据和资料；4、客户的维护，客户咨询的处理和意见的反馈；5、突发事件的处理。任职资格：1、初中及以上学历；C1以上驾照。2、熟悉当地地形，有同行业工作经验者优先；3、吃苦耐劳，人品端正，做事仔细认真；工资待遇：底薪4500元，每天送辆车货。超过两车货每车另加100元。月综合工资6000以上。包吃包住。,物流将尽心尽力使每一位员工享有“健康的身体、快乐的工作、幸福的生活”，全心全意为每一位客户谋利益、促发展。
货运司机B2驾照直招,货运司机,5人,上海闵行七宝上海闵行区七宝漕宝路,上海宇易物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：责任心强，能吃苦，任职资格：开4.2米以上厢货2年以上，会用导航工作时间：每周至少休一天，早出晚归！2、初中以上学历，持货运从业资格证和B2照以上；有1年以上驾龄，能吃苦耐劳者每天8小时，月休4-天,物流将尽心尽力使每一位员工享有“健康的身体、快乐的工作、幸福的生活”，全心全意为每一位客户谋利益、促发展。
公司驾驶员,货运司机,5人,上海青浦朱家角上海市青浦区朱家角石家浜路,上海友宏物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,物流将尽心尽力使每一位员工享有“健康的身体、快乐的工作、幸福的生活”，全心全意为每一位客户谋利益、促发展。
直招C1 B2箱式货车司机,货运司机,5人,上海青浦香花桥上海市青浦区香花桥沪青平公路,上海友宏物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,任职资格：1、年龄22-50岁，外地户籍 B2本，2年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、具有一定的服务意识；4、、工作时间为早上8点-下午5-6点左右,物流将尽心尽力使每一位员工享有“健康的身体、快乐的工作、幸福的生活”，全心全意为每一位客户谋利益、促发展。
急招9.6驾驶员,货运司机,1人,上海杭州市下沙区启辉路,刘杰车队,贸易/交通/运输/物流,其他,20人以下,诚信等级：,,中铁快运9.6米驾驶员一位，固定线路杭州无锡常熟往返，每天开车时间四个半小时260.,本车队拥有9.6米飞翼车二十余辆，专业从事江浙沪短驳、转仓、搬厂等业务。
货运司机包吃住,货运司机,5人,上海金山石化上海市金山区石化金山大道,上海友宏物流有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点及单据交接、签单；2、将货物完好的送至客户处，配合收货人员进行交接；3、服从公司安排，能够安全高效的完成工作任务；4、爱惜所使用车辆，爱惜公司财产，对自己及他人的安全负责。任职资格：1、年龄25-50岁，A/B2驾照，3年以上实际驾驶经验，拥有有效从业资格证、体检表，熟悉上海路况，有上海驾驶货车经验者优先；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、具有较强的执行力和一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：凌晨3点到中午，每天两班车，早做完早收工。,建立以人员优化、日常管理、车辆保障、线路风险预防等方面的车辆安全防控体系，长短途百万公里事故率呈逐年下降趋势，在同行业中一直保持较好的水平。
送货驾驶员4500+提成C照,货运司机,5人,上海金山亭林上海市金山区亭林亭枫公路,上海友宏物流有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,建立以人员优化、日常管理、车辆保障、线路风险预防等方面的车辆安全防控体系，长短途百万公里事故率呈逐年下降趋势，在同行业中一直保持较好的水平。
4.2-6.8厢式货车司机+提供食宿,货运司机,5人,上海嘉定方泰镇上海嘉定区方泰镇宝安公路,上海赣皖实业有限公司,生产/制造,合资,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,展望未来，我们将继续秉承“以人为本，创新发展”的管理理念，坚持“顾客至上、信誉第一”的服务宗旨，朝着“成就企业，造就人才，服务社会”的发展目标，以市场为主导、以科技发展为主题，以创优争先为契机，致力于开发、引进国内先进的制造技术，服务于国内外市场，确保产品质量，技术水平、服务水准在国内同行业中保持领先地位。公司尊崇“踏实、拼搏、责任的企业精神，并以诚信、共赢、开创经营理念，创造良好的企业环境，以全新的管理模式，完善的技术，周到的服务，卓越的品质为生存根本，我们始终坚持用户至上 用心服务于客户，坚持用自己的服务去打动客户。上海赣皖实业有限公司是童卫衣、原材料等产品专业生产加工的公司，拥有完整、科学的质量管理体系。上海赣皖实业有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
物流货运司机C1 B2,货运司机,5人,上海嘉定徐行上海嘉定区徐行新建一路,上海赣皖实业有限公司,生产/制造,合资,20-99人,诚信等级：,,岗位职责：1、负责区域内的物品送达及货款的及时返回；2、执行业务操作流程，准时送达物品，指导客户填写相关资料并及时取回；3、整理并呈递相关业务单据和资料；4、客户的维护，客户咨询的处理和意见的反馈；5、突发事件的处理。任职资格：1、初中及以上学历；C1以上驾照。2、熟悉当地地形，有同行业工作经验者优先；3、吃苦耐劳，人品端正，做事仔细认真；工资待遇：底薪4500元，每天送辆车货。超过两车货每车另加100元。月综合工资6000以上。包吃包住。,展望未来，我们将继续秉承“以人为本，创新发展”的管理理念，坚持“顾客至上、信誉第一”的服务宗旨，朝着“成就企业，造就人才，服务社会”的发展目标，以市场为主导、以科技发展为主题，以创优争先为契机，致力于开发、引进国内先进的制造技术，服务于国内外市场，确保产品质量，技术水平、服务水准在国内同行业中保持领先地位。公司尊崇“踏实、拼搏、责任的企业精神，并以诚信、共赢、开创经营理念，创造良好的企业环境，以全新的管理模式，完善的技术，周到的服务，卓越的品质为生存根本，我们始终坚持用户至上 用心服务于客户，坚持用自己的服务去打动客户。上海赣皖实业有限公司是童卫衣、原材料等产品专业生产加工的公司，拥有完整、科学的质量管理体系。上海赣皖实业有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。
带车司机（如金杯）,货运司机,10人,上海上海浦东王桥路299号,上海乐送电子商务有限公司,超市/百货/零售,民营,20-99人,诚信等级：,,岗位职责：.装货、送货和收款；任职资格：1.自带面包车，需要金杯大小；   2.有驾驶证，并对上海道路交通路线熟悉；   3.能够吃苦耐劳，服从安排。   4.沪 C 牌照不可用。工作时间：弹性工作制。,上海乐送电子商务有限公司是依托桶装水配送服务网络和终端客户群体而建立的集电子商务、新兴媒体、物流配送等概念为一体的城市配送服务平台。我们的宗旨是“城市生活，为您乐送更多”。我们启动“万人创业就业”行动，通过直营设立、加盟合作、协助大学生或4050人员创业的模式，形成一个为广大消费群体服务的配送、消费网络，真正实现为消费者提供贴心和放心的最后一公里服务。城市生活，为您乐送更多！
招聘B照驾驶员(要有资格证),货运司机,1人,上海松江九亭伴亭东路283号,上海海垒实业有限公司,其它行业,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄30-40岁，B2本，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。本公司长期驾驶员，能够稳定有责任心的优先！！！！,我们是进行蔬果产品的销售，旨在为更多餐饮企业提供省时省力省心的蔬果配送服务。
外高桥保税区货运驾驶员,货运司机,1人,上海上海浦东外高桥保税区,玖亚实业,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,工作描述：1. 驾驶公司配备的小型货车，根据客户需求提送货2. 根据客户要求每日将货车停靠在指定位置3. 主要为市内短驳，根据客户要求偶尔会有周边城市短途运输4. 工作时间宽松，强度小任职资格：1. 30-45岁，B照，丰富货运驾驶经验2. 家住外高桥保税区附近，可接受突发工作安排3. 熟悉保税区进出仓流程，熟练使用微信、QQ、照相等手机软件,玖亚实业是一家以物流运输为主的综合性公司，可以提供长短途散货及整箱运输、仓储、外贸代理服务。公司目前约有员工30人，有专属市内短途车队，约有司机10人。玖亚目前总部在嘉定徐行盛创企业园，在嘉定加工区和外高桥有分部专门负责散货及整箱运输。玖亚实业是一家年轻有活力的创业型公司，为员工提供充分的发挥空间及就业保障。
b2本司机包吃包住8k,货运司机,10人,上海南汇康桥康桥镇周邓公路,上海广聘,物业管理/商业中心,股份制企业,100-499人,诚信等级：,,1、负责公司的家电类货品的运送、协助搬运；2、负责公司车辆保养、清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-45岁，B2本，1年以上上海道路实际驾驶经验，有货运资格证；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：早8晚五 做六休一,上海聘广物业管理有限公司成立于2017年4月，是一家专业从事各类物业服务及物业服务的专业性公司。公司秉承“卓越品质、诚信服务”的理念，以专业化的操作模式、规范的管理流程、优秀的服务质量，竭诚服务于各机关团体、企业事业单位。为国内许多地区的办公楼、医院、家庭等多家世界500强企业单位提供全方位的优质物业服务。
市内短途监管车驾驶员,货运司机,5人,上海上海嘉定宝钱公路4500号商检大楼202室,玖亚实业,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点、 现场拍照；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄35-45岁，B2本，10年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,玖亚实业是一家以物流运输为主的综合性公司，可以提供长短途散货及整箱运输、仓储、外贸代理服务。公司目前约有员工30人，有专属市内短途车队，约有司机10人。玖亚目前总部在嘉定徐行盛创企业园，在嘉定加工区和外高桥有分部专门负责散货及整箱运输。玖亚实业是一家年轻有活力的创业型公司，为员工提供充分的发挥空间及就业保障。
4.2-6.8米厢式货车司机+包吃住,货运司机,5人,上海浦东川沙上海市浦东新区川沙路,上海朝宗国际贸易有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄18-53岁，外地户籍 C1本以上，1年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。薪资待遇：5000-6500元左右/月,物流将尽心尽力使每一位员工享有“健康的身体、快乐的工作、幸福的生活”，全心全意为每一位客户谋利益、促发展。
直聘司机8000要有b2本包吃包住,货运司机,10人,上海南汇周浦周浦镇沪南公路附近,上海广聘,物业管理/商业中心,股份制企业,100-499人,诚信等级：,,1、负责公司的家电类货品的运送、协助搬运；2、负责公司车辆保养、清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-45岁，B2本，1年以上上海道路实际驾驶经验，有货运资格证；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：早8晚五 做六休一,上海聘广物业管理有限公司成立于2017年4月，是一家专业从事各类物业服务及物业服务的专业性公司。公司秉承“卓越品质、诚信服务”的理念，以专业化的操作模式、规范的管理流程、优秀的服务质量，竭诚服务于各机关团体、企业事业单位。为国内许多地区的办公楼、医院、家庭等多家世界500强企业单位提供全方位的优质物业服务。
金龙蛋品,货运司机,2人,上海嘉定.江桥.金沙岗西路,金龙蛋品商店.,超市/百货/零售,民营,20-99人,诚信等级：,,货车司机、包吃包住.,上海市金龙蛋品商店..
B2货车司机,货运司机,2人,上海松江九亭盛富路299号,上海炳坤货运有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-55岁，B2本，有货运资格证；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,这家公司还没来得及写简介~
驾驶员依维柯,货运司机,1人,上海嘉定马陆双单路1509弄,上海世秀国际物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作； 3、协助处理公司车辆保险、索赔、年检相关事宜任职要求：1、年龄25-40岁，B1照，3年以上实际驾驶经验，有货运资格证，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；4、为人踏实、老实忠厚，保密意识强、责任心强。,上海世秀国际物流有限公司秉承诚信经营、准时送达的信念。围绕公司的网络干线，在原有的基础上增加了集货及配送能力的运输节点，将京、沪、粤三地是客户群体有效的组织构成了干线运输网络。上海世秀国际物流有限公司在整车及零担的干线运输的同时，还在京沪粤三地配有城市配送车辆，以满足客户分拨配送的需求，充分发挥自身优势，提供让客户满意的专业化物流服务。
货运驾驶员,货运司机,2人,上海嘉定马陆浏翔公路2088号,上海飞天物流有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,太仓工厂送上海短驳，线路半固定，没有休息天，一般中午前后出车，晚间有送浦东进仓货，有时要熬夜，开7米6箱车，都是托盘货物不需要人工装卸，包吃包住（住太仓），看清楚能接受熬夜的再打电,"上海飞天货物运输有限公司是经上海市政府有关部门审批,核发《营业执照》《道路运输经营许可证》《税务登记证》等相关证件取得合法经营资格。并与中国太平洋财产保险股份有限公司——上海分公司合作，为广大新老客户提供保险服务。公司是在上海经营多年的一家老牌运输公司，自从进入上海运输物流市场以来，已经取得一定市场份额，并认真遵守法律、法规和企业经营理念，不断进行公司内部管理机制的提高，以科学化管理促进公司的健康发展！"
a2驾驶员,货运司机,1人,上海宝山宝山区顾村镇塘祁路,个人,其它行业,民营,20-99人,诚信等级：,,工作认真，能吃苦耐劳,这家公司还没来得及写简介~
大货车司机,货运司机,4人,上海宝山罗店罗春路218号,上海顺能模具有限公司,生产/制造,民营,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄30-45岁，A2本，5年以上实际驾驶经验，有货运资格证，熟悉上本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,公司经营范围模具五金；机械设备制造、销售；钢材、金属材料销售；从事货物及技术的进出口业务；仓储。本公司与上海宝钢运输公司合作。
货车司机,货运司机,1人,上海上海市黄浦区中山东二路88号外滩soho广场G座,上海利竺礼餐饮管理有限公司,酒店/餐饮,民营,100-499人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常商务接待、行政事务。任职资格：1、年龄25-32岁，5年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：做六休一,专注于高端餐饮服务领域，与法国知名的餐饮品牌及顶级chef展开全面的战略性合作，拥有强大的专业团队和良好的经营理念，以及对本地高端餐饮市场深入透彻的品牌营销能力。致力于为客户提供高品质的专业服务及打造可持续的良好品牌价值。公司旗下各品牌门店近期将陆续登陆上海，拉开序幕；届时我们期待您的加入，公司注重人才，并提供公平的学习与发展平台。Paris Rouge Café & Restaurant（洛克外滩源）Paris Rouge苏州店Paris Bleu新天地店开在洛克·外滩源女青年会大楼的Paris Rouge，以一种经典的巴黎咖啡馆餐厅（Café & Restaurant）风格，开启了上海法餐的新气象。Paris Rouge与众不同的地方，在于其骨子里的传统特质.这个餐厅不单是因为热爱美食而生，也不单是为了烹饪技术的表达而存在；它是由一支年轻而富有激情的国际化团队运营，这些来自世界各地的华人在法国学习了多年的餐饮专业知识，有着世界顶级法餐厅丰富的工作经历；餐厅准确来说是这个团队对于经典法餐风格的一种完美呈现。LE REVE PATISSERIE by Pascal Molines 顶级法式甜点店 (益丰外滩源店）LE REVE恒隆广场店LE REVE张江长泰广场店Pascal Molines-----世界甜点冠军及法国两届最高工艺获得者1997和2000年的MOF，1999年更是带领法国队贏得世界杯甜品大赛冠军，也是目前世界顶级的甜点大师之一；这意味着代表世界顶级水准的法式甜点店即将在上海华丽现身，在上海零距离与巴黎同步享受幸福甜点滋味。LE REVE ---世界冠军甜品大师的艺术梦幻演绎
驾驶员包食宿,货运司机,5人,上海上海市宝山区江杨北路98号保翔冷藏,上海华赋冷链物流有限公司,贸易/交通/运输/物流,股份制企业,20-99人,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-50岁，A2本，3年以上实际驾驶经验，有货运资格证；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。有意者请直接电话咨询！！！,上海华赋冷链物流有限公司是一家专业从事低温冷藏、冷冻、恒温货物配送的物流企业、业务遍布全国各大中小城市，并与2008年建立了由东北大连、华东上海、华北天津服务团队。在低温物流方面有丰富的专业经验，配有高低温临时周转冷库，可提供温度（20℃-25℃）满足不同货物升降温度要求，自有2吨-3吨各类冷藏保鲜车，是上海极少数用本公司自有车子从事长途运输的物流公司，每部车子配有GPS卫星定位系统及全程温度跟踪记录监控系统，让客户随时掌握货物信息！
诚招A2驾驶证司机,货运司机,2人,上海上海金山区朱行镇市中路9号中粮融氏生物科技有限公司,上海桂安货物运输有限公司,贸易/交通/运输/物流,其他,20人以下,诚信等级：,,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；4、协助处理日常行政事务。任职资格：1、年龄28-45岁，A2本，2年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、懂商务接待礼仪，具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。工作时间：,本公司成立了十五年，有专业的运输队伍，有专业运输液体食品罐车数十辆，至今为止已为上百个有需要的企业服务。公司的宗旨：专业，安全，快速。
聘B2驾驶员有货运资格证,货运司机,3人,上海沪南路3665号,上海广聘物业公司,家政,其他,20-99人,诚信等级：,,1.年龄在18到35，无前科2.吃苦耐劳，有责任心3.有货运资格证，B2驾驶证,上海广聘物业公司成立于2002年3月，现今规模较大，业务众多，服务范围较广的一家公司。
货运驾驶员,货运司机,1人,上海春荣路800弄,个体,其它行业,民营,20-99人,诚信等级：,,要A2开17.5米箱车,上海到福建专线要上海地区熟悉的优先
四团周边物流公司接送货司机,货运司机,1人,上海奉贤其他四团镇团青公路89号,安能物流奉贤四团分公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：1、负责公司的接送货2、负责公司客服开发3、车辆的日常维护任职资格：1、年龄22-30岁，B2本，2年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3、具有一定的服务意识；　4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,安能物流奉贤四团分公司，员工关系融洽，安能物流奉贤四团分公司，员工关系融洽
