全新大通EV80公司提供业务,货运司机,10人,上海浦东上海周边浦东不限,上海豪滴汽车租赁公司,贸易/交通/运输/物流,合资,500-999人,今天,,随着互联网大力发展，和政府号召，针对污染，大力发展新能源货运营运车辆，不限户籍，驾龄1年以上，公司免费提供货源每天打底一趟固定收入，350-550元，另可加班一趟。额外时间，可以拉货，58速运，搬家业务，月收入综合到手纯利润1.5-2万左右，沪上“”新能源物流车以租代购代业务车融资租赁。以租代购“”方案如下36期 首付6万 月供4500元，含一年保险三年牌照使用，24期 首付6.5万 月供6000元，含一年保险两年牌照使用，全款 18.5万 含一年保险一年牌照使用，注； 以上方案价格均含税，合同到期后即可转籍过户，（过户费自理）：如无需过户继续营运的，营运管理费10000每年，1000每月，公司免费提供长期稳定货源的同时的司机还可以做， 配货宝 送快递 跑物流 搬家！ 多劳多得轻松过万。,汽车租赁业被称为交通运输服务行，它因为无须办理保险、无须年检维修、车型可随意更换等优点，以租车代替买车来控制企业成本，这种在外企中十分流行的管理方式，正慢慢受到国内企事业单位和个人用户的青睐。汽车租赁是指将汽车的资产使用权从拥有权中分开，出租人具有资产所有权，承租人拥有资产使用权，出租人与承租人签订租赁合同，以交换使用权利的一种交易形式。上海友众企业管理咨询有限公司，是一家专注于为企业管理、营销领域提供企管咨询顾问和销售行业教育训练的专业咨询顾问公司。公司当前主要业务为企业提供各种培训课程（主推我公司首创的《卓越五星人格》）涉及领域为：企业管理、营销策划、销售、亲子教育、婚姻家庭、团队成长训练、商务礼仪、早晚会训练等以及心理咨询等业务范围，欢迎各有志于培训行业的优秀人才加盟我司。您的需求就是我们的追求！
招聘司机3人,货运司机,3人,上海浦东北蔡新陈路1017号,上海嘉达印刷有限公司,印刷/包装/造纸,民营,20-99人,诚信等级：,,熟悉上海路况，有安全意识，服从安排，有经验者优先，年龄30岁以下。。主要是开面包车送货，有意者可直接来工厂面试。浦东新区北蔡镇新陈路1017号嘉达印刷厂,嘉达印刷公司是一家技术先进、设备完善、管理有序集设计，制作、印刷为一体的现代化印刷企业。公司现拥有顶尖的印刷设备及现代化的管理理念和精湛的技术力量。主要专业生产画册.说明书.中高档包装盒.手提袋.不干胶.信封.信笺.等各种纸张印刷品。
高薪诚聘货运司机A1B1+月薪 8千,货运司机,5人,上海松江松江区工业区荣乐东路2027号,大达物流,贸易/交通/运输/物流,上市公司,10000人以上,今天,,"大达物流物流1、工资正常6500-8000，每月6天休息,入职满一年,每年15天带薪年假;一、数量、范围大型货车驾驶员5名，工作地点就近分配。二、条件1. 遵纪守法、作风正派、品行端正、无不良嗜好，无曾被使用单位辞退或开除等情况，无违法犯罪记录。2. 年龄在18至45周岁之间，高中、中专、中技、职高以上学历。3. A、A1、A2、B、B2驾照，3年及以上驾龄，视力要求双眼裸视0.6以上。三、相关待遇应聘大型货车驾驶员经初试、复试（实际操作测试）、体检合格被录用的，签订劳动合同，从事物流运输工作。要求实行四班三运转，同时，享受以下待遇：1. 试用期为3个月，试用期内月收入5000元左右。2. 试用期满经考核合格取得月收入6500元左右(岗位工资+绩效工资等),一年后月收入在7500元左右。3. 为所有员工缴纳雇主责任险，缴纳社保或新三险，上海市及外地城镇户口员工缴纳公积金。4. 工作期间提供工作餐。5. 外地户籍提供宿舍居住（有空调）。6. 公司提供必要的劳动防护用品7. 免费参加统一组织的专业技术培训。B2照。驾龄必须3年以上。要求要上岗证、,有开此类车驾驶经验者有先。工资底薪4000元+15公里内30元一车30公里内40元一车40公里内50元一车。综合工资9000以上/月,包吃住。上班在上海浦东市新区,宝山区，闵行区，嘉定区等。。。短信报名：姓名+性别+年龄+面试日期 发到王助理时间上即可贴心提示：不要轻易相信车站及路边陌生人，以免造成您的财物损失）面试地址：上海市松江区荣乐东路2027号乘车路线: 坐任意地铁转9号地铁线到(松江体育中心)3号出口,坐公交6/10路到建设大厦下车,下车即到","关于我们 / ABOU US上海勇迁搬场服务有限公司成立于1994年,是一家以公路运输为主，兼营铁路、航空、海运的全国网络型运输公司, 乃全国名列三甲的现代化的大型第三方物流企业， 拥有国内最先进的运输工具和管理设施。 总部设在上海市曹安公路2080号。可腾人力资源（上海）有限公司是一家专业从事人力资源派遣的公司"
内集卡司机,货运司机,10人,上海浦东新区港建路1号,上海枣沪装卸服务有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,遵守公司及码头各项规章制度，服从领导安排。上班时间:三班两运转,公司主要服务于码头做好集装箱的装卸运输工作
"招4.2驾驶员,月薪9千,跑京东快递",货运司机,3人,上海洞业路京东分拣中心,上海青龙汽车运输有限公司,贸易/交通/运输/物流,民营,20-99人,诚信等级：,,4.2新车，每天6点14点18点22点4车货，自己装车，都是很轻的快递小件，固定路线，路程在周边20公里。,我司专业从事快挮的长短运输，要B2A2驾驶员。求能吃苦有责任心的。
招聘A2挂车驾驶员,货运司机,10人,上海川桥路1700号,上海安鑫汽车运输有限公司,贸易/交通/运输/物流,民营,500-999人,诚信等级：,,因业务需要急聘A2驾驶员，从事汽车零部件运输，跑江、浙，沪，来回算公里数，每公里7毛左右，底薪2400元，月工资在1万左右.另招短驳驾驶员，主要往通用仓库送货，来回5公里左右，安车头结算，每车40元左右，每天6-7趟，分早、晚班，底薪2400，月工资在9000元左右。公司不包吃住。交金。要求在上海浦东，金桥、曹路附近住，便于上下班，非中介，不收任何费用。,本公司从事汽车零部件运输行业，于通用、延锋、大众等公司合作！
土方车驾驶员,货运司机,5人,上海方塔路517号,洪炯实业,其它行业,民营,20-99人,诚信等级：,,本公司从事土方工程运输，能吃苦耐劳的，工作认真的,本公司主要经营：轿车租借、代驾等服务项目本公司有20多名满8年以上驾龄的优秀驾驶员。合法租凭的专业公司，具有“安全、优质、正规、高效。”车辆种类众多，任君选择。我们以诚为本，以顾客为上帝的原则为您服务，期待你的光临！
招聘蓝牌冷藏车司机,货运司机,2人,上海洞泾镇振业路101号,上海,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,主要负责冷鲜肉的配送，要吃苦耐劳，山东优先录用,我到底怎么了啊我要的不多啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
物流货运司机,货运司机,5人,上海松江车墩松江区申港路2677号共发物流园,鸿都公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责：负责公司的货物运送、进仓，市内短驳。任职资格：1、年龄20-45岁，B2本，2年以上实际驾驶经验，有货运资格证，熟悉本地路况；　2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；　3、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。,经松江工商行政管理局注册，松江交通运输管理部门颁发成立，从事
物流公司招聘司机,货运司机,1人,上海宝山上大宝山区园光路311号,上海九诺物流有限公司,贸易/交通/运输/物流,民营,20人以下,诚信等级：,,岗位职责:任职资格:大货司机有上岗证工作时间:,"上海九诺物流有限公司经营普通货运上海至烟台专线往返，上海公司坐落在上海宝山区园光路311号，是诚实守信单位,公司自成立以来始终坚持规范化管理人性化服务的宗旨,诚信为金,服务至上,可靠的信誉是本公司生存的力量."
招聘13米/17.5米货车司机,货运司机,2人,上海上海市嘉定区马陆镇,上海元元运输公司,生产/制造,民营,20-99人,诚信等级：,,要求技术好，能吃苦耐劳者优先录用,公司现拥有50多人，注册资金一百万，现有20条路线
