饿了么,经验3-5年 ,长征,移动互联网 ,15k-25k,15000,25000
美团点评,经验5-10年 ,中山公园,"移动互联网,O2O ",20k-40k,20000,40000
趣致网络,经验1-3年 ,斜土路,"移动互联网,O2O ",8k-15k,8000,15000
奇虎360金融,经验1-3年 ,洋泾,"移动互联网,金融 ",15k-29k,15000,29000
信石金科,经验1-3年 ,浦东新区,"移动互联网,金融 ",7k-12k,7000,12000
美莱集团,经验1-3年 ,长宁区,"医疗健康,电子商务 ",10k-15k,10000,15000
携程,经验3-5年 ,北新泾,"移动互联网,旅游 ",15k-30k,15000,30000
米赢,经验1-3年 ,高行,"移动互联网,社交网络 ",8k-15k,8000,15000
汇付,经验1-3年 ,田林,"移动互联网,金融 ",10k-20k,10000,20000
即富,经验不限 ,张江,"电子商务,金融 ",5k-6k,5000,6000
摩柏科技,经验1-3年 ,外滩,"金融,移动互联网 ",18k-20k,18000,20000
易创云服,经验1-3年 ,长阳路,"企业服务,数据服务 ",15k-20k,15000,20000
永辉超市股份有限公司,经验1-3年 ,田林,"电子商务,O2O ",10k-15k,10000,15000
米么金服,经验1-3年 ,金杨新村,"移动互联网,金融 ",7k-11k,7000,11000
兔博士,经验1-3年 ,张江,"移动互联网,生活服务 ",6k-10k,6000,10000
美团点评,经验1-3年 ,长宁区,"移动互联网,O2O ",18k-28k,18000,28000
饿了么,经验3-5年 ,长征,移动互联网 ,8k-14k,8000,14000
平安租赁,经验1-3年 ,陆家嘴,金融 ,8k-15k,8000,15000
平安健康互联网,经验5-10年 ,龙华,"移动互联网,医疗健康 ",25k-50k,25000,50000
90KM,经验应届毕业生 ,汶水路,游戏 ,5k-10k,5000,10000
普望,经验1-3年 ,三林,"移动互联网,企业服务 ",6k-8k,6000,8000
CreditX,经验不限 ,长宁区,"金融,数据服务 ",10k-20k,10000,20000
买单侠,经验5-10年 ,浦东新区,移动互联网、金融 ,18k-30k,18000,30000
空中金融,经验1-3年 ,张江,"移动互联网,金融 ",6k-10k,6000,10000
奇虎360金融,经验1-3年 ,洋泾,"移动互联网,金融 ",15k-20k,15000,20000
袋马科技,经验不限 ,万源城,硬件 ,10k-15k,10000,15000
唯品会,经验5-10年 ,华漕,电子商务 ,25k-45k,25000,45000
达达-京东到家,经验3-5年 ,上海,O2O ,15k-25k,15000,25000
chance,经验1-3年 ,长宁区,"数据服务,电子商务 ",7k-14k,7000,14000
英语流利说,经验3-5年 ,杨浦区,"移动互联网,教育 ",10k-15k,10000,15000
饿了么,经验1-3年 ,长征,移动互联网 ,10k-15k,10000,15000
Seedeer,经验1-3年 ,外滩,"电子商务,企业服务 ",6k-12k,6000,12000
爱奇艺,经验3-5年 ,漕河泾,"广告营销,文化娱乐 ",25k-35k,25000,35000
般胜投资,经验1-3年 ,中山,金融 ,10k-15k,10000,15000
派兰数据,经验不限 ,交通大学,"数据服务,医疗健康 ",6k-7k,6000,7000
买单侠,经验3-5年 ,塘桥,移动互联网、金融 ,30k-50k,30000,50000
京东,经验1-3年 ,北新泾,电子商务 ,12k-24k,12000,24000
MarcPoint,经验3-5年 ,漕河泾,"电子商务,广告营销 ",7k-10k,7000,10000
熙菱,经验5-10年 ,浦东新区,"信息安全,其他 ",30k-50k,30000,50000
返利网,经验5-10年 ,龙华,电子商务 ,15k-30k,15000,30000
驴妈妈旅游网,经验3-5年 ,长征,"电子商务,旅游 ",8k-12k,8000,12000
航天能源,经验不限 ,浦东新区,数据服务 ,4k-6k,4000,6000
安盛天平,经验3-5年 ,浦东新区,金融 ,6k-12k,6000,12000
千葩贸易,经验1-3年 ,松江区,"O2O,其他 ",10k-12k,10000,12000
Unity Technologies,经验1-3年 ,长征,移动互联网 ,6k-10k,6000,10000
招商银行—出行易,经验1-3年 ,源深体育中心,电子商务 ,10k-20k,10000,20000
口袋理财,经验1-3年 ,长宁区,"金融,移动互联网 ",15k-25k,15000,25000
万行科技,经验3-5年 ,松江区,数据服务 ,12k-24k,12000,24000
华通银行,经验1-3年 ,浦东新区,"金融,移动互联网 ",15k-30k,15000,30000
Alading Bank,经验1-3年 ,田林,"移动互联网,金融 ",10k-20k,10000,20000
普瑞眼科医院集团,经验1-3年 ,中山公园,"移动互联网,医疗健康 ",8k-15k,8000,15000
萨摩耶金服,经验1-3年 ,浦东新区,金融 ,10k-20k,10000,20000
阔迎,经验1-3年 ,龙华,"移动互联网,金融 ",10k-20k,10000,20000
PPTV聚力,经验1-3年 ,花木,文化娱乐 ,8k-10k,8000,10000
享骑出行,经验5-10年 ,莘庄,"移动互联网,电子商务 ",20k-30k,20000,30000
上海正信方晟,经验3-5年 ,长宁区,"电子商务,企业服务 ",15k-25k,15000,25000
拍拍贷,经验不限 ,张江,金融 ,15k-30k,15000,30000
携程,经验5-10年 ,北新泾,"移动互联网,旅游 ",20k-30k,20000,30000
趣致网络,经验3-5年 ,新天地,"移动互联网,O2O ",8k-15k,8000,15000
拍分乐,经验1-3年 ,张江,"金融,移动互联网 ",12k-24k,12000,24000
拓端数据,经验不限 ,宝山区,"数据服务,电子商务 ",5k-8k,5000,8000
东方财富,经验应届毕业生 ,徐汇区,金融 ,6k-10k,6000,10000
上海前景,经验1-3年 ,东外滩,"广告营销,文化娱乐 ",8k-15k,8000,15000
海银金控,经验3-5年 ,浦东新区,"金融,移动互联网 ",15k-20k,15000,20000
华钦科技,经验1-3年 ,黄浦区,"金融,招聘 ",13k-18k,13000,18000
还呗-智能信贷领先者,经验1-3年 ,浦东新区,"移动互联网,金融 ",10k-20k,10000,20000
易果生鲜,经验5-10年 ,北新泾,电子商务 ,25k-30k,25000,30000
联璧,经验1-3年 ,松江区,"移动互联网,O2O ",7k-10k,7000,10000
小赢科技,经验1-3年 ,黄浦区,金融 ,10k-20k,10000,20000
饿了么,经验5-10年 ,长征,移动互联网 ,15k-22k,15000,22000
中怡保险,经验应届毕业生 ,陆家嘴,金融 ,7k-10k,7000,10000
美团点评,经验1-3年 ,中山公园,"移动互联网,O2O ",10k-20k,10000,20000
Gridsum 国双,经验应届毕业生 ,静安寺,数据服务 ,1k-2k,1000,2000
全程网络,经验1-3年 ,周家嘴路,"企业服务,O2O ",10k-18k,10000,18000
云谏能源,经验5-10年 ,张江,"移动互联网,其他 ",15K-30K,15000,30000
云谏能源,经验5-10年 ,张江,"移动互联网,其他 ",15K-30K,15000,30000
牛班,经验5-10年 ,虹口区,"移动互联网,文化娱乐 ",10k-20k,10000,20000
平安健康,经验3-5年 ,陆家嘴,"移动互联网,电子商务 ",15k-20k,15000,20000
PPTV聚力,经验1-3年 ,花木,文化娱乐 ,6k-9k,6000,9000
arvato China,经验3-5年 ,汶水路,"广告营销,数据服务 ",7k-12k,7000,12000
上海储吉,经验1-3年 ,长阳路,移动互联网 ,4k-6k,4000,6000
Alading Bank,经验不限 ,虹梅路,"移动互联网,金融 ",3k-6k,3000,6000
饿了么,经验3-5年 ,长征,移动互联网 ,15k-25k,15000,25000
还呗-智能信贷领先者,经验1-3年 ,张江,"移动互联网,金融 ",10k-20k,10000,20000
EA时代天使,经验不限 ,杨浦区,"电子商务,医疗健康 ",6k-10k,6000,10000
上海你我贷互联网金融信息服务,经验1-3年 ,东方路,金融 ,30k-50k,30000,50000
Datatist,经验应届毕业生 ,徐家汇,"数据服务,广告营销 ",4k-8k,4000,8000
上海时驰,经验3-5年 ,浦东新区,数据服务 ,13k-18k,13000,18000
乐信,经验3-5年 ,田林,移动互联网 ,15k-30k,15000,30000
knowyou,经验1-3年 ,田林,"移动互联网,硬件 ",10k-15k,10000,15000
PPTV聚力,经验1-3年 ,花木,文化娱乐 ,7k-10k,7000,10000
最惠保,经验1-3年 ,东方路,移动互联网 ,8k-16k,8000,16000
前隆金融（手机贷）,经验1-3年 ,外滩,金融 ,15k-30k,15000,30000
唯品会,经验5-10年 ,闵行区,电子商务 ,15k-30k,15000,30000
拍拍贷,经验3-5年 ,张江,金融 ,13k-25k,13000,25000
携程,经验3-5年 ,北新泾,"移动互联网,旅游 ",20k-30k,20000,30000
