BRAND,COMPANY,FINANCIAL AMOUNT,ROUNDS,INVESTORS,INDUSTRY,TIME
车木曹,北京果毅科技有限公司,数百万人民币,天使轮,水木资本,交通出行,2016/3/29
掌门1对1,上海翼师网络科技有限公司,数千万人民币,B轮,顺为资本达晨创投,教育,2016/3/29
万里云,万里云医疗信息科技(北京)有限公司,2.25亿人民币,并购,阿里健康,医疗健康,2016/3/29
Friendsurance,Friendsurance,1500万美元,B轮,HorizonsVenturese.ventures,金融支付,2016/3/29
住范儿,北京水木优品科技有限公司 ,,天使轮,创新工场,房产,2016/3/28
钛媒体,北京灵动新程信息科技有限公司,数千万人民币,战略投资,盛大资本奇虎360用友幸福投资/用友云起资本,内容产业,2016/3/28
Morningo围兜,武汉围兜网络科技有限公司,200万人民币,天使轮,,电子商务,2016/3/28
Close A两颗松果,北京两颗松果信息科技有限公司,数百万人民币,天使轮,盐光加速器,金融支付,2016/3/28
每日视界,北京每日视界影视动画股份有限公司,1000万人民币,IPO上市后,StarVC,内容产业,2016/3/28
美美买车,美美买车（北京）科技有限公司,数百万人民币,天使轮,,交通出行,2016/3/28
稻草熊影业,江苏稻草熊影业有限公司,10.8亿人民币,并购,暴风科技,内容产业,2016/3/28
甘普科技,,10.5亿人民币,并购,暴风科技,游戏动漫,2016/3/28
友贷网,东莞市友贷金融信息服务有限公司,6亿美元,并购,银富集团,金融支付,2016/3/28
大大买钢网,大汉电子商务有限公司,5000万人民币,Pre-A,启赋资本,电子商务,2016/3/28
FixNix Inc.,FixNix Inc.,50万美元,种子轮,JayVijayan,企业服务,2016/3/28
虾米厨房,无锡虾米亿卡通网络科技有限公司,数百万人民币,天使轮,未透露,生活消费,2016/3/28
8tracks Radio,8tracks Radio,3000万美元,不明确,未透露,内容产业,2016/3/28
大道金服,深圳前海大道金融服务有限公司,数千万人民币,A轮,红杉资本中国基金太盟投资集团（PAG）,金融支付,2016/3/28
超级猩猩,深圳市超级猩猩健身管理有限公司,数千万人民币,A轮,复星昆仲资本,生活消费,2016/3/28
围兜Morningo,武汉围兜网络科技有限公司,200万人民币,天使轮,未透露,电子商务,2016/3/28
易果生鲜网,上海易果电子商务有限公司,2.6亿美元,C轮,KKR集团,电子商务新农业,2016/3/28
小鹏汽车,广州橙行智动汽车科技有限公司,4200万美元,A轮,未透露,交通出行,2016/3/28
海淘天堂,西安海淘电子科技有限公司,数千万人民币,A轮,华滨创投越榕资本,电子商务,2016/3/28
大账房,北京大账房信息技术有限公司,7500万人民币,A轮,人人公司/千橡互动,金融支付,2016/3/28
三蝌优,厦门三蝌优网络科技有限公司,200万人民币,天使轮,蔡文胜,营销广告,2016/3/28
小牛云铺,广州小牛信息科技有限公司,未公开,并购,掌贝,金融支付,2016/3/27
旺翔传媒,上海旺翔文化传媒股份有限公司,1001万人民币,不明确,APUSGroup,营销广告,2016/3/27
未名企鹅,未名企鹅(北京)科技有限公司招,数千万人民币,天使轮,经纬中国,医疗健康,2016/3/27
中集电商,深圳中集电商物流科技有限公司,3亿人民币,A轮,未透露,电子商务,2016/3/27
LifeBEAM,LifeBEAM,1600万美元,A轮,SquarepegCapitalWellbornVCCercaPartnersAtomic14VCTriventuresVC,医疗健康,2016/3/27
欧拉网络,上海欧拉网络技术有限公司,7000万美元,C轮,毅达资本奇虎360执一资本YiCapital,工具软件,2016/3/27
车蛙,杭州女娲网络科技有限公司,未公开,Pre-A,慧鑫泉投资,交通出行,2016/3/27
二次云,二次云科技（深圳）有限公司,数百万人民币,天使轮,险峰长青德沃基金,游戏动漫,2016/3/27
中科华成,青岛中科华成信息科技有限公司,数百万人民币,天使轮,青岛绿天使投资管理有限公司,,2016/3/27
童星汇,深圳童星汇网络科技有限公司,500万人民币,天使轮,中科招商北京中海投资VhouseBitFund.PE比特基金,移动互联网,2016/3/26
亚乐恒,广州亚乐恒网络科技有限公司,200万人民币,天使轮,广州沃坤,企业服务,2016/3/26
立动科技,杭州立动信息科技有限公司,9.75亿人民币,并购,暴风科技,游戏动漫,2016/3/26
LeadHUG,北京易盒科技有限公司,1000万美元,并购,赤子城,营销广告,2016/3/26
June,June,2250万美元,A轮,EclipseFirstRoundFoundryGroupLererHippeauVenturesVaizraInvestments,硬件,2016/3/26
帕米科技,厦门帕米科技有限公司,100万人民币,天使轮,青瓦资本,企业服务人工智能,2016/3/25
鲜LIFE(鲜生活),北京鲜生活电子商务有限公司,1000万美元,A轮,贝塔斯曼亚洲投资基金鼎晖投资,电子商务,2016/3/25
欧拉网络Hola桌面,上海欧拉网络技术有限公司,7000万美元,C轮,毅达资本奇虎360执一资本YiCapital,工具软件,2016/3/25
正和岛新媒体,北京正和远景科技有限公司,未透露,A轮,头头是道投资基金,内容产业,2016/3/25
易代储,北京易代储科技有限公司,数百万人民币,天使轮,黑马基金,企业服务,2016/3/25
根底健康,深圳市同并相联科技有限公司,1000万人民币,天使轮,,医疗健康,2016/3/25
启明医疗,杭州启明医疗器械有限公司,3700万美元,C轮,高盛集团,医疗健康,2016/3/25
码上配,小码大众(北京)技术有限公司,数百万人民币,天使轮,英诺天使基金大河创投,企业服务,2016/3/25
嘉席JiaTable,邑泉（上海）贸易有限公司,未透露,天使轮,真格基金,生活消费,2016/3/25
汽车头条,北京智阅网络科技有限公司,数千万人民币,并购,科达股份/科达集团,交通出行,2016/3/25
亚海恒业会展,北京亚海恒业会展有限公司,数亿人民币,并购,科达股份/科达集团,企业服务,2016/3/25
爱创营销,北京爱创天杰品牌管理顾问有限公司,数亿人民币,并购,科达股份/科达集团,营销广告,2016/3/25
数字100,北京数字一百信息技术有限公司,数亿人民币,并购,科达股份/科达集团,企业服务,2016/3/25
Permission Click,Permission Click,175万美元,种子轮,FriesensCorp.RealVentures,教育,2016/3/25
奇境森林,深圳奇境森林科技有限公司,数百万人民币,天使轮,集素资本,游戏动漫,2016/3/25
大特保,嘉兴汇保网络科技有限公司,2000万美元,B轮,中华开发策源创投复星昆仲资本,金融支付,2016/3/25
好在,北京好在科技有限公司,1000万人民币,天使轮,心元资本,,2016/3/25
智乐聘,大连智乐聘网络科技有限公司,150万人民币,天使轮,道和资本,企业服务,2016/3/25
元宝铺,杭州阿思拓信息科技有限公司,1亿人民币,B轮,0,金融支付,2016/3/25
扫货,,数千万人民币,天使轮,吴克忠,电子商务,2016/3/25
FOVE,FOVE,1100万美元,A轮,ColoplVRFund鸿海集团Foxconn/富士康三星集团,硬件,2016/3/25
易直播,深圳云聚汇数码有限公司,6000万人民币,A轮,未透露,内容产业,2016/3/25
Esports Hero,Esports Hero,100万美元,不明确,EsportsHero,游戏动漫,2016/3/25
Kingsee青橙视界,深圳青橙视界数字科技有限公司,数百万人民币,天使轮,和君资本,硬件,2016/3/25
鲜life,北京鲜生活电子商务有限公司,数千万美元,A轮,贝塔斯曼亚洲投资基金鼎晖投资,电子商务,2016/3/25
Wecut,广州嗨瑟威信息科技有限公司,1000万人民币,A轮,美图创新谷,社交,2016/3/25
Flypro飞豹无人机,深圳飞豹航天航空科技有限公司,1.5亿人民币,B轮,深圳市创新投资集团有限公司/深创投,硬件,2016/3/25
Mesosphere,Mesosphere,7350万美元,C轮,HewlettPackardEnterpriseACapitalAndreessenHorowitzFuelCapitalKhoslaVenturesMicrosoftTrianglePeakPartners,企业服务,2016/3/25
Unima,Unima,130万美元,种子轮,YCombinator,医疗健康,2016/3/24
火石,深圳打火石科技有限公司,1000万人民币,天使轮,腾讯产业共赢基金/腾讯,社交,2016/3/24
淘实惠农村电商,深圳动态网络科技有限公司,3亿人民币,A轮,阿米巴资本华睿投资启赋资本中信资本,电子商务,2016/3/24
神州专车,神州优车（天津）有限公司,30亿人民币,C轮,,交通出行,2016/3/24
年假旅行,北京年假旅行科技有限公司,数千万人民币,A轮,同程旅游,旅游户外,2016/3/24
赛点体育,天津赛点科技有限公司,5000万人民币,A轮,安芙兰创投,内容产业,2016/3/24
买塑网,深圳市小河电子商务有限公司,数百万人民币,天使轮,鸿海集团Foxconn中科乐创,电子商务,2016/3/24
留白影视,东阳留白影视文化有限公司,数千万人民币,A轮,南山资本,内容产业,2016/3/24
新里程医院集团,新里程医院集团有限公司,未公开,不明确,中信产业基金,医疗健康,2016/3/24
中铁互联,中铁互联（天津）电子商务有限公司,3500万人民币,A轮,赋哲投资,电子商务,2016/3/24
迈淩医疗,北京迈淩医疗技术发展有限公司,未公开,A轮,礼来亚洲基金,医疗健康,2016/3/24
懒熊体育,深圳懒熊体育文化有限公司,1200万人民币,Pre-A,华人文化产业基金九合创投,内容产业,2016/3/24
Medical Departures,Medical Departures,250万美元,A轮,DMPVCCyberAgentVenturesHubertBurdaMediaOPTSEA,医疗健康,2016/3/24
BigBasket,BigBasket,1.5亿美元,D轮,AbraajGroupAscentCapitalGroupInternationalFinanceCorporationSandsCapitalManagementZodiusCapitalBessemerVenturePartners,电子商务,2016/3/24
互融CLUB,上海益民互融金融信息服务有限公司,数千万人民币,A轮,商代通,金融支付,2016/3/24
淘实惠,深圳智慧城电子商务有限公司,3亿人民币,A轮,阿米巴资本华睿投资启赋资本中信资本飞猪资本王亚伟李琪,电子商务,2016/3/24
热波科技,热波（北京）网络科技有限责任公司,640万人民币,天使轮,华策影视,内容产业ARVR,2016/3/24
酷客美地,杭州有顷网络科技有限公司,2000万人民币,Pre-A,银杏谷资本敦澜投资银江资本,营销广告,2016/3/24
谁,深证打火石科技有限公司,1000万人民币,A轮,腾讯产业共赢基金/腾讯,社交,2016/3/24
Visionary VR,Visionary VR,600万美元,A轮,DraperFisherJurvetson(DFJ)BDMIEndCueLLCGreylockPartnersTheVentureRealityFundVayner/RSE,内容产业ARVR,2016/3/24
彩球网,北京彩球世纪科技有限公司,数千万人民币,A+轮,人人公司/千橡互动,内容产业,2016/3/24
快美妆,深圳市快美妆科技有限公司,3000万人民币,A轮,潇阳投资琢石投资,生活消费,2016/3/24
慧理财,乾藏(上海)互联网金融信息服务有限公司,2000万人民币,天使轮,联想乐基金,金融支付,2016/3/24
ClubReady,ClubReady,未公开,A轮,LevelEquity,生活消费,2016/3/24
拉勾网,北京拉勾网络技术有限公司,2.2亿人民币,C轮,弘道资本启明创投荣超投资,企业服务,2016/3/24
车涯互动,深圳车涯互动科技有限公司,数百万人民币,天使轮,未透露,社交,2016/3/23
Checkr,Checkr,4000万美元,B轮,YCombinatorSignatureCapitalAccelPartnersInstitutionalVenturesPartners,企业服务,2016/3/23
Science Exchange,Science Exchange,2500万,B轮,MaverickCapitalCollaborativeFundIndexVenturesOreillyAlphaTechVenturesUnionSquareVenturesWindhamVenturePartnersYCombinator,其他,2016/3/23
e成-逸橙科技,上海逸橙信息科技有限公司,数千万美元,B轮,凯辉基金光速安振,企业服务,2016/3/23
小牛电动-牛电科技,北京牛电科技有限责任公司,3000万美元,A+轮,凤凰祥瑞,硬件,2016/3/23
航班管家,北京市活力天汇科技有限公司,9.33亿人民币,C轮,民航股权投资基金凯撒旅游经纬中国,工具软件,2016/3/23
美丽美,荣浪信息科技（上海）有限公司,数千万美元,B轮,,生活消费,2016/3/23
小净洗衣,,未公开,并购,8天在线,生活消费,2016/3/23
Truebill,Truebill,35万美元,种子轮,YCombinatorDavidMarcusHitenShahBobbyYazdani,金融支付,2016/3/23
活力天汇科技,深圳市活力天汇科技有限公司,9.33亿人民币,C轮,凯撒旅游凯撒世嘉民航股权投资基金北京民航合源投资中心,旅游户外,2016/3/23
美丽神器,上海荣浪科技有限责任公司,数千万美元,B轮,SkyView,生活消费,2016/3/23
牛电科技,北京牛电科技有限责任公司,3000万人民币,A+轮,凤凰祥瑞,交通出行,2016/3/23
Loverly,Loverly,200万美元,B轮,HuntTechnologyVenturesMontageVenturesGrowthXTransmediaCapital645VenturesGreatOaksCapitalFemaleFoundersFund,生活消费,2016/3/23
新派公寓CYPA,新派之寓（北京）投资管理有限公司,数千万人民币,B轮,华住酒店集团,房产,2016/3/23
盖雅工场,苏州盖雅信息技术有限公司,数千万人民币,不明确,经纬中国,企业服务,2016/3/23
道客云,上海道客网络科技有限公司,1000万美元,A轮,风和投资光速安振,,2016/3/23
瘦沙拉,瘦沙拉(深圳)科技有限公司公司简介 ,数百万人民币,天使轮,青骢资本,生活消费,2016/3/23
一头猫,一头猫（北京）科技有限公司,未公开,Pre-A,未透露,其他,2016/3/23
极验验证,武汉极意网络科技有限公司,2400万美元,B轮,红杉资本中国基金IDG资本,企业服务,2016/3/23
携康长荣,携康长荣医院管理(北京)有限公司,2000万人民币,A轮,未透露,医疗健康,2016/3/23
展小二,北京小猿科技有限公司,数百万人民币,天使轮,慧聪网,企业服务,2016/3/23
易开业,易开业（上海）科技发展有限公司,1500万人民币,Pre-A,鸿凯资本博将资本,企业服务,2016/3/23
当虹科技,杭州当虹科技有限公司,6150万人民币,A轮,光线传媒国海创新资本,内容产业ARVR,2016/3/23
eGym,eGym,7500万美元,C轮,HPEGrowthCapitalHighlandEurope,生活消费,2016/3/23
GreatHorn,GreatHorn,225万美元,种子轮,VentureCapitalSoftTechVCVentureCapitalSoftTechVCWalterWinshall,企业服务,2016/3/23
DoorDash,DoorDash,1.27亿美元,D轮,SequoiaCapital,生活消费,2016/3/23
两点十分,武汉两点十分文化传播有限公司,数千万人民币,A轮,峰瑞资本,游戏动漫,2016/3/23
宋小菜,杭州小农网络科技有限公司,1.04亿人民币,A轮,IDG资本元璟资本普华资本,生活消费,2016/3/23
RecomN,RecomN,100万美元,种子轮,GobiPartner,生活消费,2016/3/23
BYJU'S,BYJU'S,7500万美元,不明确,SequoiaCapitalSofina,教育,2016/3/23
硅谷密探,,300万人民币,天使轮,中科创星集结号资本,内容产业,2016/3/23
美食快点, 北京每时科技有限公司,500万人民币,天使轮,未透露,生活消费,2016/3/22
听闻APP,厦门听闻网络有限公司,1000万人民币,Pre-A,,内容产业,2016/3/22
OSVehicle,OSVehicle,12万美元,种子轮,YCombinator,硬件交通出行,2016/3/22
知牛财经,珠海多玩信息技术有限公司,10亿人民币,战略投资,欢聚时代/YY多玩,内容产业,2016/3/22
BeSound,不存在科技（深圳）有限责任公司,400万人民币,天使轮,真格基金,硬件,2016/3/22
黑晶科技,北京黑晶科技有限公司,1500万人民币,A轮,利亚德光电,ARVR硬件,2016/3/22
索福德体育,索福德(上海)体育发展有限公司,1000万美元,A轮,华人文化产业基金,内容产业,2016/3/22
EFORT埃夫特智能,安徽埃夫特智能装备有限公司,数千万人民币,B轮,美的集团,硬件,2016/3/22
学车管家,小柚网络科技（武汉）有限公司,100万人民币,天使轮,,交通出行,2016/3/22
炊烟小厨,深圳市炊烟小厨餐饮管理有限公司,200万人民币,Pre-A,桂杰,生活消费,2016/3/22
理大师,天津青籁科技有限公司,3000万人民币,A轮,清科-片仔癀医疗健康并购基金,生活消费,2016/3/22
九爱科技,杭州九爱科技有限公司,1亿人民币,天使轮,未透露,硬件,2016/3/22
众筹客,北京众筹客网络技术有限公司,数千万人民币,A轮,小牛资本,企业服务,2016/3/22
会小二,北京云动数字媒体技术有限公司,数千万美元,B轮,DCM中国IDG资本,企业服务,2016/3/22
你来出境游,北京云游互联科技有限公司,1500万人民币,Pre-A,北京复远,旅游户外,2016/3/22
悦美网,北京维康恒美信息技术有限公司,1.1亿人民币,B轮,0,医疗健康,2016/3/22
真旅网,上海长寿旅行社有限公司,6亿人民币,C轮,毅达资本联创资本金浦创新消费光大富尊,旅游户外,2016/3/22
轻旅星球,杭州七洋生科技有限公司,260万人民币,天使轮,尚势资本光合基金,旅游户外,2016/3/21
易前期,北京快顺通信息技术有限公司,200万人民币,天使轮,未透露,企业服务,2016/3/21
Meter Feeder,Meter Feeder,12万美元,种子轮,YCombinator,工具软件,2016/3/21
自由人校园推广,暂未收录,数百万人民币,天使轮,,营销广告,2016/3/21
LionMobi狮之吼,成都狮之吼科技有限公司,数亿人民币,B轮,,移动互联网,2016/3/21
奇子向钱,北京奇子投资管理有限公司,数千万人民币,A轮,中科招商,金融支付,2016/3/21
指尖微客,北京指尖微客科技有限公司,数百万人民币,天使轮,春晓资本,企业服务,2016/3/21
清科锐华,北京清科锐华软件有限公司,未透露,天使轮,高捷资本,企业服务,2016/3/21
BullyStar恶霸星球,暂未收录,1000万人民币,天使轮,联创永宣,生活消费,2016/3/21
小满科技,深圳市小满科技有限公司,数千万人民币,A+轮,达晨创投,企业服务,2016/3/21
91征信,北京小崔时代信息服务有限公司,1000万人民币,Pre-A,经纬中国,金融支付,2016/3/21
InstaRem,InstaRem,500万美元,A轮,祥峰投资富登金融控股GlobalFoundersCapital,金融支付,2016/3/21
星火钱包,湖南星投信息服务有限公司,1000万人民币,Pre-A,0,金融支付,2016/3/21
奇子金服,奇子成新(上海)金融信息服务有限公司,未公开,A轮,政府引导型基金,金融支付,2016/3/21
放假周边游,深圳出发点旅行社有限公司,1000万人民币,A轮,未透露,旅游户外,2016/3/21
回收商网,石家庄正和网络有限公司,数千万人民币,A轮,河北省电子商务产业引导基金,电子商务,2016/3/21
百布,广州致景信息科技有限公司,数千万人民币,A+轮,源码资本,电子商务,2016/3/21
又拍云UPYUN,杭州又拍云科技有限公司,数亿人民币,B轮,未透露,企业服务,2016/3/21
美黛拉,广州绽放信息科技有限公司,1200万美元,B轮,IDG资本平安创投高榕资本,医疗健康,2016/3/21
M-Files,M-Files,3300万欧元,B轮,PartechVenturesFinnishIndustryInvestmentDraperEsprit,企业服务,2016/3/21
上药云健康,上海医药大健康云商股份有限公司,1.35亿人民币,A+轮,软银中国盛太投资,医疗健康,2016/3/21
易酒批,北京易酒批电子商务有限公司,2亿人民币,B+轮,元生资本钟鼎创投源码资本光源资本,电子商务,2016/3/21
慧择网,深圳市慧择时代科技有限公司,2亿人民币,B轮,万融时代资本拉卡拉创东方投资,金融支付,2016/3/21
恶霸星球,,1000万人民币,天使轮,冯涛,生活消费,2016/3/21
脉度理疗,北京便利到家信息技术有限公司,3000万人民币,Pre-A,芳晟投资,生活消费,2016/3/21
HighGround,HighGround,760万美元,A轮,KDWCVenturesColumbusNovaTechnologyPartnersLightbank,企业服务,2016/3/21
神美网-神爸母婴,广州神爸信息科技有限公司,数百万人民币,天使轮,,电子商务,2016/3/20
土流网,湖南土流信息有限公司,1.5亿人民币,B轮,复娱文化经纬中国,电子商务新农业,2016/3/20
成都醒后,成都巨江科技有限公司,200万人民币,天使轮,未透露,生活消费,2016/3/20
华虎传媒,湖南华虎国际文化传媒有限公司,数百万人民币,Pre-A,头头是道,其他,2016/3/19
古德体育,北京古德体育科技有限公司,300万人民币,天使轮,海贝资本,生活消费,2016/3/19
宏源寰球,武汉宏源寰球科技有限公司,未透露,A+轮,,金融支付,2016/3/19
造否,杭州造否投资管理有限公司,数百万人民币,天使轮,跨星创投,内容产业,2016/3/19
妈咪知道/医信科技,深圳市医信科技有限公司,1亿人民币,B轮,复星昆仲资本软银中国MorningsideVentureCapital晨兴资本山楂树资本,医疗健康,2016/3/19
Human+,人加智能机器人技术（北京）有限公司,数百万人民币,天使轮,磐谷创投索道投资,硬件物联网,2016/3/18
微头条,深圳锐驰互动科技有限公司,未透露,战略投资,,内容产业,2016/3/18
养爱车,泊海融诚（北京）科技有限公司,1200万人民币,Pre-A,真格基金,交通出行,2016/3/18
厦门微巴科技,厦门微巴信息技术有限公司,104万人民币,并购,点点客,营销广告,2016/3/18
汇星互联,深圳市汇星互联科技有限公司,300万人民币,并购,点点客,营销广告,2016/3/18
七维科技,北京七维视觉科技有限公司,4000万人民币,并购,光线传媒,内容产业ARVR,2016/3/18
IPRdaily,北京知人善用信息技术有限公司,1000万人民币,Pre-A,启赋资本天使汇,内容产业,2016/3/18
Ensygnia,Ensygnia,50万英镑,A轮,GateVenturesPlcFinTechAcceleratorSixThirty,金融支付,2016/3/18
papi酱/ 春雨听雷...,北京春雨听雷网络科技有限公司,1200万人民币,不明确,真格基金罗辑思维光源资本星图资本,内容产业,2016/3/18
农发贷,深圳农金圈金融服务有限公司,9000万人民币,Pre-A,王俊诺普信,金融支付新农业,2016/3/18
二更,杭州二更网络科技有限公司,5000万人民币,A轮,基石资本真格基金,内容产业,2016/3/18
店商互联,店商互联（北京）科技发展有限公司,1.3亿人民币,A轮,德同资本长江国泓先锋金融爱施德,电子商务,2016/3/18
Distribusion,Distribusion,630万欧元,A轮,NorthzoneCreandumHRVentures,交通出行,2016/3/18
Faceu,深圳市脸萌科技有限公司,数千万美元,B轮,美图光速安振,社交,2016/3/18
Ring,Ring,6210万美元,C轮,KleinerPerkinsCaufield&ByersRichardBranson,硬件,2016/3/18
省心宝,重庆省心宝科技有限公司,4000万人民币,A+轮,比特大陆观择资本,交通出行,2016/3/18
eeGeo,eeGeo,500万美元,不明确,NetSolTechnologies,工具软件,2016/3/18
执惠旅游,北京执惠旅游文化传播有限公司,1000万人民币,A轮,淳时资本左驭资本,旅游户外,2016/3/18
找我网,成都找我科技有限公司,数千万人民币,A轮,合一天使量石资本,生活消费,2016/3/18
The Fresh Market,"The Fresh Market,Inc",13.6亿美元,并购,ApolloGlobalManagementLLC,生活消费,2016/3/18
紫晶通财基金,深圳市紫晶通财投资基金管理股份有限公司,1.5亿美元,B轮,基打新基金农业投资,金融支付,2016/3/18
堕落虾,深圳市洪堡智慧餐饮科技有限公司,300万万人民币,天使轮,任E行,,2016/3/17
功夫体育,体秀互联信息技术（北京）有限公司,400万人民币,天使轮,宁波道简基金,内容产业,2016/3/17
Prenetics,Prenetics,1000万美元,B轮,平安创投,医疗健康,2016/3/17
Ambidio,暂未收录,数百万美元,A轮,HorizonsVentures维港投资,内容产业,2016/3/17
文章无忧(好文易),北京文章无忧信息科技有限公司,数百万人民币,天使轮,马笛尔创投,内容产业,2016/3/17
Abbi,Abbi,70万美元,不明确,TheTimeincubatorTayaVentures,企业服务,2016/3/17
兰亭集势,兰亭集势Lightinthebox,7650万美元,并购,卓尔集团,电子商务,2016/3/17
翼动科技,重庆翼动科技有限公司,5500万人民币,A轮,联络互动,硬件,2016/3/17
全球U选,天津联络优选网络科技有限公司,1340万人民币,A轮,联络互动,电子商务,2016/3/17
iSpace,北京百维博锐贸易有限公司,9000万人民币,A轮,联络互动,电子商务,2016/3/17
联合双赢,北京联合双赢广告有限公司,1亿人民币,A轮,联络互动,营销广告,2016/3/17
口袋记账,上海奇鸟互联网金融信息服务有限公司,1600万人民币,Pre-A,启赋资本丰厚资本,工具软件,2016/3/17
Molbase摩贝,上海摩库数据技术有限公司,数千万美元,C轮,红杉资本中国基金挚信资本创新工场复星昆仲资本VANGOO盘古创富,电子商务,2016/3/17
昆仑决,青海昆尚文化传媒有限公司,数千万美元,B轮,MorningsideVentureCapital晨兴资本IDG资本北极光创投,内容产业,2016/3/17
FreshFresh两鲜直购,上海两鲜电子商务有限公司,2000万美元,A轮,0,电子商务,2016/3/17
KKday,酷游天股份有限公司,450万美元,A轮,appWorks之初创投九易资本,旅游户外,2016/3/17
赢智天众, 青岛赢智天众管理咨询有限公司,数百万人民币,天使轮,青岛绿天使投资管理有限公司,,2016/3/17
牛家帮,上海腾牛电子商务有限公司,数千万人民币,A+轮,柯罗尼新扬子基金东方富海英诺天使基金,生活消费,2016/3/17
森声科技,森声数字科技(深圳)有限公司,数百万人民币,天使轮,三诺集团华诺创投,硬件ARVR,2016/3/17
奇域恒清,广东奇域恒清文化发展有限公司,500万人民币,天使轮,仁清科技恒业影业,内容产业,2016/3/16
舟谱快消,北京舟谱科技有限公司,数千万人民币,Pre-A,峰瑞资本,企业服务,2016/3/16
小丑超声波牙刷,北京微超科技有限公司,500万人民币,天使轮,宏远投资梅鹤百姿,其他,2016/3/16
快租365,上海捷租网络科技有限公司,200万人民币,天使轮,苏河汇,电子商务,2016/3/16
果酱直播,深圳市果酱时代科技有限公司,数百万人民币,Pre-A,安芙兰创投梅花天使创投创新谷,内容产业,2016/3/16
微仓,北京鲜果说网络科技有限公司 ,100万人民币,种子轮,起源资本,电子商务,2016/3/16
Gevek VRSuite,北京极维客科技有限公司,数千万人民币,A轮,,,2016/3/16
橙天嘉禾,橙天嘉禾娱乐 (集团) 有限公司,4亿人民币,IPO上市后,微影资本,内容产业,2016/3/16
智选化学,成都智圆行方信息技术有限公司,数十万人民币,种子轮,,电子商务,2016/3/16
NihaoPay,Aurfy Inc.,350万美元,Pre-A,RREVentures,金融支付,2016/3/16
盘古数据,深圳市盘古数据有限公司,52.5亿人民币,并购,精功科技,企业服务,2016/3/16
Kurio,Kurio,2000万美元,B轮,,内容产业,2016/3/16
Usermind,Usermind,1450万美元,B轮,MenloVenturesAndreessenHorowitzCRV,企业服务,2016/3/16
万达影视,万达影视传媒有限公司,10.85亿人民币,IPO,泛海控股,内容产业,2016/3/16
橙天嘉禾影城,橙天嘉禾影城（中国）有限公司,1.5亿人民币,并购,慧影投资,内容产业,2016/3/16
白领科技,白领（北京）科技管理有限公司,数千万人民币,A轮,尚峰集团,生活消费,2016/3/16
Skyport Systems,Skyport Systems,3000万美元,C轮,GoogleVentures谷歌投资/CapitalGCiscoVenturesThomvestVenturesNorthgateCapitalInstantScaleIndexVenturesSutterHillVentures英特尔投资,企业服务,2016/3/16
魔方网,芜湖魔方网络信息服务有限公司,未公开,B轮,深圳市创新投资集团有限公司/深创投天珑移动经纬中国,游戏动漫,2016/3/16
运金所,广州海豚信息科技有限公司,1000万人民币,天使轮,玖创资本险峰长青唯猎资本WillHuntingCapital,金融支付,2016/3/16
坚果智能影院,深圳市火乐科技发展有限公司,6亿人民币,C轮,金砖资本中金前海,硬件,2016/3/16
保险极客,北京鲸鹳科技有限公司,数千万人民币,A轮,复星昆仲资本联想之星博思投资,金融支付,2016/3/16
邢少爷,雅聪上海餐饮管理有限公司,1000万人民币,天使轮,邢志远马如宝徐如根倪惠霖,生活消费,2016/3/16
次元文化,杭州次元文化创意有限公司,数千万人民币,A轮,复星昆仲资本,游戏动漫,2016/3/16
e兼职,北京融顺网络科技有限公司,1500万人民币,Pre-A,东方环球投资恒宝金源投资,企业服务,2016/3/15
爆款易,嘉云数据（杭州）科技有限公司,数千万人民币,A轮,峰瑞资本IDG资本真格基金,企业服务,2016/3/15
一气呵成,北京壳贝贝科技有限公司,100万人民币,天使轮,亚杰天使投资/亚杰商会plugandplay孵化器,企业服务,2016/3/15
分子互动,北京分子互动文化传播有限公司,1000万人民币,天使轮,EvolutionMediaChina(EMC基金),营销广告,2016/3/15
点点未来教育,北京点点未来教育科技有限公司,数百万人民币,A轮,朗玛峰创投,移动互联网教育,2016/3/15
BellaBuy,北京趣购网络技术有限公司,1000万人民币,Pre-A,安芙兰创投,电子商务,2016/3/15
万达院线,万达电影院线股份有限公司,8463万人民币,IPO上市后,华策影视,内容产业,2016/3/15
青岛万达影视,青岛万达影视投资有限公司,1.15亿人民币,A+轮,华策影视,内容产业,2016/3/15
Dream Master,上海佑尚家居有限公司,数千万人民币,天使轮,立元创投齐一资本浙大校友会基金,房产ARVR,2016/3/15
Terminus,Terminus,500万美元,A轮,EdisonPartnersArthurVenturesHydeParkVenturePartnersKnollVentures,电子商务,2016/3/15
Couchbase,Couchbase,3000万美元,F轮,SorensonCapitalAcceleVenturePartnersAdamsStreetPartnersIgnitionPartnersMayfieldFundNorthBridgeVenturePartners&GrowthEquityWestSummitCapital,企业服务,2016/3/15
鲜动生活,深圳市正海实业有限公司,数千万人民币,A+轮,和智资本长润资产,电子商务,2016/3/15
斗鱼直播,广州斗鱼网络科技有限公司,1亿美元,B轮,腾讯产业共赢基金/腾讯南山资本科冕木业/天神互动,游戏动漫,2016/3/15
云厨电商,长沙云厨电子商务有限公司,5000万人民币,A轮,宝樾投资,电子商务,2016/3/15
Fulgent Therapeuti...,Fulgent Therapeutics,2256万美元,并购,西陇科学,医疗健康,2016/3/15
十分咖啡,成都盛逸投资管理有限公司,未公开,天使轮,知初资本,企业服务,2016/3/15
